market_slug,outcome,total_snapshots,B5%_S5%_P0%,B5%_S5%_P5%,B5%_S5%_P10%,B5%_S5%_P20%,B5%_S5%_P50%,B5%_S5%_P75%,B5%_S5%_P100%,B5%_S10%_P0%,B5%_S10%_P5%,B5%_S10%_P10%,B5%_S10%_P20%,B5%_S10%_P50%,B5%_S10%_P75%,B5%_S10%_P100%,B7%_S5%_P0%,B7%_S5%_P5%,B7%_S5%_P10%,B7%_S5%_P20%,B7%_S5%_P50%,B7%_S5%_P75%,B7%_S5%_P100%,B7%_S10%_P0%,B7%_S10%_P5%,B7%_S10%_P10%,B7%_S10%_P20%,B7%_S10%_P50%,B7%_S10%_P75%,B7%_S10%_P100%,B10%_S5%_P0%,B10%_S5%_P5%,B10%_S5%_P10%,B10%_S5%_P20%,B10%_S5%_P50%,B10%_S5%_P75%,B10%_S5%_P100%,B10%_S10%_P0%,B10%_S10%_P5%,B10%_S10%_P10%,B10%_S10%_P20%,B10%_S10%_P50%,B10%_S10%_P75%,B10%_S10%_P100%,B5%_S5%_P150>75%,B5%_S10%_P150>75%,B7%_S5%_P150>75%,B7%_S10%_P150>75%,B10%_S5%_P150>75%,B10%_S10%_P150>75%,B5%_S5%_P100>50%,B5%_S10%_P100>50%,B7%_S5%_P100>50%,B7%_S10%_P100>50%,B10%_S5%_P100>50%,B10%_S10%_P100>50%,B5%_S5%_P100>20%,B5%_S10%_P100>20%,B7%_S5%_P100>20%,B7%_S10%_P100>20%,B10%_S5%_P100>20%,B10%_S10%_P100>20%,B5%_S5%_P75>20%,B5%_S10%_P75>20%,B7%_S5%_P75>20%,B7%_S10%_P75>20%,B10%_S5%_P75>20%,B10%_S10%_P75>20%,B5%_S5%_P50>10%,B5%_S10%_P50>10%,B7%_S5%_P50>10%,B7%_S10%_P50>10%,B10%_S5%_P50>10%,B10%_S10%_P50>10%,B5%_HoldToEnd,B7%_HoldToEnd,B10%_HoldToEnd
btc-updown-15m-1765142100,DOWN,8200,-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades)
btc-updown-15m-1765143000,DOWN,5088,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade,no trade
btc-updown-15m-1765143900,DOWN,8142,-17.8% (6 trades),-7.8% (6 trades),12.2% (6 trades),11.0% (5 trades),5.8% (3 trades),133.8% (2 trades),169.5% (2 trades),-13.2% (6 trades),-3.2% (6 trades),16.8% (6 trades),11.0% (5 trades),108.8% (2 trades),133.8% (2 trades),169.5% (2 trades),-37.4% (5 trades),-27.4% (5 trades),-7.4% (5 trades),-22.4% (4 trades),67.5% (4 trades),152.4% (2 trades),172.4% (2 trades),-32.2% (5 trades),-22.2% (5 trades),-2.2% (5 trades),-17.2% (4 trades),69.2% (4 trades),152.4% (2 trades),172.4% (2 trades),-68.7% (4 trades),-58.7% (4 trades),-38.7% (4 trades),-53.7% (3 trades),5.8% (3 trades),143.9% (2 trades),163.9% (2 trades),-63.8% (4 trades),-53.8% (4 trades),-33.8% (4 trades),-48.8% (3 trades),118.9% (2 trades),143.9% (2 trades),163.9% (2 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),66.1% (3 trades),169.5% (2 trades),69.0% (3 trades),172.4% (2 trades),60.7% (3 trades),163.9% (2 trades),79.1% (4 trades),79.1% (4 trades),48.3% (3 trades),48.3% (3 trades),41.0% (3 trades),41.0% (3 trades),45.6% (4 trades),45.6% (4 trades),28.3% (3 trades),28.3% (3 trades),21.0% (3 trades),21.0% (3 trades),20.6% (4 trades),20.6% (4 trades),67.5% (4 trades),69.2% (4 trades),5.8% (3 trades),-4.0% (3 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades)
btc-updown-15m-1765144800,DOWN,5819,-90.2% (2 trades),-90.2% (2 trades),-88.5% (2 trades),-78.7% (2 trades),-47.5% (2 trades),63.9% (1 trades),63.9% (1 trades),-83.6% (2 trades),-83.6% (2 trades),-83.6% (2 trades),-78.7% (2 trades),63.9% (1 trades),63.9% (1 trades),63.9% (1 trades),-93.7% (2 trades),-93.7% (2 trades),-85.7% (2 trades),-79.4% (2 trades),-49.2% (2 trades),58.7% (1 trades),58.7% (1 trades),-87.3% (2 trades),-87.3% (2 trades),-87.3% (2 trades),-79.4% (2 trades),58.7% (1 trades),58.7% (1 trades),58.7% (1 trades),-93.7% (2 trades),-93.7% (2 trades),-85.7% (2 trades),-79.4% (2 trades),-49.2% (2 trades),58.7% (1 trades),58.7% (1 trades),-87.3% (2 trades),-87.3% (2 trades),-87.3% (2 trades),-79.4% (2 trades),58.7% (1 trades),58.7% (1 trades),58.7% (1 trades),63.9% (1 trades),63.9% (1 trades),58.7% (1 trades),58.7% (1 trades),58.7% (1 trades),58.7% (1 trades),-47.5% (2 trades),63.9% (1 trades),-49.2% (2 trades),58.7% (1 trades),-49.2% (2 trades),58.7% (1 trades),-47.5% (2 trades),63.9% (1 trades),-52.4% (2 trades),58.7% (1 trades),-52.4% (2 trades),58.7% (1 trades),-47.5% (2 trades),63.9% (1 trades),-52.4% (2 trades),58.7% (1 trades),-52.4% (2 trades),58.7% (1 trades),-47.5% (2 trades),63.9% (1 trades),-52.4% (2 trades),58.7% (1 trades),-52.4% (2 trades),58.7% (1 trades),63.9% (1 trades),58.7% (1 trades),58.7% (1 trades)
btc-updown-15m-1765145700,UP,4474,90.5% (2 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),90.5% (2 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),90.5% (2 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),90.5% (2 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),90.5% (2 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),90.5% (2 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades)
btc-updown-15m-1765146600,UP,4473,59.8% (2 trades),59.8% (2 trades),59.8% (2 trades),59.8% (2 trades),77.3% (2 trades),75.4% (1 trades),75.4% (1 trades),75.4% (1 trades),75.4% (1 trades),75.4% (1 trades),75.4% (1 trades),75.4% (1 trades),75.4% (1 trades),75.4% (1 trades),77.2% (4 trades),82.7% (2 trades),82.7% (2 trades),82.7% (2 trades),82.7% (2 trades),88.7% (1 trades),88.7% (1 trades),-98.1% (2 trades),88.7% (1 trades),88.7% (1 trades),88.7% (1 trades),88.7% (1 trades),88.7% (1 trades),88.7% (1 trades),69.7% (3 trades),69.7% (3 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),75.4% (1 trades),75.4% (1 trades),88.7% (1 trades),88.7% (1 trades),-100.0% (1 trades),-100.0% (1 trades),75.4% (1 trades),75.4% (1 trades),88.7% (1 trades),88.7% (1 trades),-100.0% (1 trades),-100.0% (1 trades),75.4% (1 trades),75.4% (1 trades),88.7% (1 trades),88.7% (1 trades),-100.0% (1 trades),-100.0% (1 trades),75.4% (1 trades),75.4% (1 trades),88.7% (1 trades),88.7% (1 trades),-100.0% (1 trades),-100.0% (1 trades),77.3% (2 trades),75.4% (1 trades),82.7% (2 trades),88.7% (1 trades),-100.0% (1 trades),-100.0% (1 trades),75.4% (1 trades),88.7% (1 trades),-100.0% (1 trades)
btc-updown-15m-1765147500,DOWN,4474,69.5% (1 trades),69.5% (1 trades),69.5% (1 trades),69.5% (1 trades),69.5% (1 trades),69.5% (1 trades),69.5% (1 trades),69.5% (1 trades),69.5% (1 trades),69.5% (1 trades),69.5% (1 trades),69.5% (1 trades),69.5% (1 trades),69.5% (1 trades),72.4% (1 trades),72.4% (1 trades),72.4% (1 trades),72.4% (1 trades),72.4% (1 trades),72.4% (1 trades),72.4% (1 trades),72.4% (1 trades),72.4% (1 trades),72.4% (1 trades),72.4% (1 trades),72.4% (1 trades),72.4% (1 trades),72.4% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),69.5% (1 trades),69.5% (1 trades),72.4% (1 trades),72.4% (1 trades),-100.0% (1 trades),-100.0% (1 trades),69.5% (1 trades),69.5% (1 trades),72.4% (1 trades),72.4% (1 trades),-100.0% (1 trades),-100.0% (1 trades),69.5% (1 trades),69.5% (1 trades),72.4% (1 trades),72.4% (1 trades),-100.0% (1 trades),-100.0% (1 trades),69.5% (1 trades),69.5% (1 trades),72.4% (1 trades),72.4% (1 trades),-100.0% (1 trades),-100.0% (1 trades),69.5% (1 trades),69.5% (1 trades),72.4% (1 trades),72.4% (1 trades),-100.0% (1 trades),-100.0% (1 trades),69.5% (1 trades),72.4% (1 trades),-100.0% (1 trades)
btc-updown-15m-1765148400,UP,4468,85.6% (2 trades),85.6% (2 trades),85.6% (2 trades),87.4% (2 trades),72.4% (1 trades),72.4% (1 trades),72.4% (1 trades),89.1% (2 trades),89.1% (2 trades),89.1% (2 trades),89.1% (2 trades),72.4% (1 trades),72.4% (1 trades),72.4% (1 trades),66.7% (1 trades),66.7% (1 trades),66.7% (1 trades),66.7% (1 trades),66.7% (1 trades),66.7% (1 trades),66.7% (1 trades),66.7% (1 trades),66.7% (1 trades),66.7% (1 trades),66.7% (1 trades),66.7% (1 trades),66.7% (1 trades),66.7% (1 trades),66.7% (1 trades),66.7% (1 trades),66.7% (1 trades),66.7% (1 trades),66.7% (1 trades),66.7% (1 trades),66.7% (1 trades),66.7% (1 trades),66.7% (1 trades),66.7% (1 trades),66.7% (1 trades),66.7% (1 trades),66.7% (1 trades),66.7% (1 trades),72.4% (1 trades),72.4% (1 trades),66.7% (1 trades),66.7% (1 trades),66.7% (1 trades),66.7% (1 trades),72.4% (1 trades),72.4% (1 trades),66.7% (1 trades),66.7% (1 trades),66.7% (1 trades),66.7% (1 trades),72.4% (1 trades),72.4% (1 trades),66.7% (1 trades),66.7% (1 trades),66.7% (1 trades),66.7% (1 trades),72.4% (1 trades),72.4% (1 trades),66.7% (1 trades),66.7% (1 trades),66.7% (1 trades),66.7% (1 trades),72.4% (1 trades),72.4% (1 trades),66.7% (1 trades),66.7% (1 trades),66.7% (1 trades),66.7% (1 trades),72.4% (1 trades),66.7% (1 trades),66.7% (1 trades)
btc-updown-15m-1765149300,UP,4474,69.5% (2 trades),69.5% (2 trades),69.5% (2 trades),69.5% (2 trades),75.4% (1 trades),75.4% (1 trades),75.4% (1 trades),71.2% (2 trades),71.2% (2 trades),71.2% (2 trades),71.2% (2 trades),75.4% (1 trades),75.4% (1 trades),75.4% (1 trades),51.5% (1 trades),51.5% (1 trades),51.5% (1 trades),51.5% (1 trades),51.5% (1 trades),51.5% (1 trades),51.5% (1 trades),51.5% (1 trades),51.5% (1 trades),51.5% (1 trades),51.5% (1 trades),51.5% (1 trades),51.5% (1 trades),51.5% (1 trades),56.2% (1 trades),56.2% (1 trades),56.2% (1 trades),56.2% (1 trades),56.2% (1 trades),56.2% (1 trades),56.2% (1 trades),56.2% (1 trades),56.2% (1 trades),56.2% (1 trades),56.2% (1 trades),56.2% (1 trades),56.2% (1 trades),56.2% (1 trades),75.4% (1 trades),75.4% (1 trades),51.5% (1 trades),51.5% (1 trades),56.2% (1 trades),56.2% (1 trades),75.4% (1 trades),75.4% (1 trades),51.5% (1 trades),51.5% (1 trades),56.2% (1 trades),56.2% (1 trades),75.4% (1 trades),75.4% (1 trades),51.5% (1 trades),51.5% (1 trades),56.2% (1 trades),56.2% (1 trades),75.4% (1 trades),75.4% (1 trades),51.5% (1 trades),51.5% (1 trades),56.2% (1 trades),56.2% (1 trades),75.4% (1 trades),75.4% (1 trades),51.5% (1 trades),51.5% (1 trades),56.2% (1 trades),56.2% (1 trades),75.4% (1 trades),51.5% (1 trades),56.2% (1 trades)
btc-updown-15m-1765150200,DOWN,4448,73.2% (3 trades),73.2% (3 trades),78.3% (3 trades),69.5% (1 trades),69.5% (1 trades),69.5% (1 trades),69.5% (1 trades),69.5% (1 trades),69.5% (1 trades),69.5% (1 trades),69.5% (1 trades),69.5% (1 trades),69.5% (1 trades),69.5% (1 trades),69.1% (2 trades),69.1% (2 trades),69.1% (2 trades),72.4% (1 trades),72.4% (1 trades),72.4% (1 trades),72.4% (1 trades),72.4% (1 trades),72.4% (1 trades),72.4% (1 trades),72.4% (1 trades),72.4% (1 trades),72.4% (1 trades),72.4% (1 trades),63.9% (1 trades),63.9% (1 trades),63.9% (1 trades),63.9% (1 trades),63.9% (1 trades),63.9% (1 trades),63.9% (1 trades),63.9% (1 trades),63.9% (1 trades),63.9% (1 trades),63.9% (1 trades),63.9% (1 trades),63.9% (1 trades),63.9% (1 trades),69.5% (1 trades),69.5% (1 trades),72.4% (1 trades),72.4% (1 trades),63.9% (1 trades),63.9% (1 trades),69.5% (1 trades),69.5% (1 trades),72.4% (1 trades),72.4% (1 trades),63.9% (1 trades),63.9% (1 trades),69.5% (1 trades),69.5% (1 trades),72.4% (1 trades),72.4% (1 trades),63.9% (1 trades),63.9% (1 trades),69.5% (1 trades),69.5% (1 trades),72.4% (1 trades),72.4% (1 trades),63.9% (1 trades),63.9% (1 trades),69.5% (1 trades),69.5% (1 trades),72.4% (1 trades),72.4% (1 trades),63.9% (1 trades),63.9% (1 trades),69.5% (1 trades),72.4% (1 trades),63.9% (1 trades)
btc-updown-15m-1765151100,UP,4477,-67.2% (6 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-86.7% (5 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-69.3% (5 trades),-56.8% (4 trades),-56.8% (4 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-90.9% (4 trades),-78.4% (3 trades),-69.3% (3 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-69.3% (5 trades),-56.8% (4 trades),-56.8% (4 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-90.9% (4 trades),-78.4% (3 trades),-69.3% (3 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades)
btc-updown-15m-1765152000,DOWN,4477,69.5% (4 trades),94.5% (4 trades),96.0% (4 trades),56.7% (2 trades),56.2% (1 trades),56.2% (1 trades),56.2% (1 trades),79.2% (2 trades),79.2% (2 trades),79.2% (2 trades),56.2% (1 trades),56.2% (1 trades),56.2% (1 trades),56.2% (1 trades),65.6% (3 trades),90.6% (3 trades),90.6% (3 trades),71.8% (2 trades),73.5% (2 trades),66.7% (1 trades),66.7% (1 trades),66.7% (1 trades),66.7% (1 trades),66.7% (1 trades),66.7% (1 trades),66.7% (1 trades),66.7% (1 trades),66.7% (1 trades),45.9% (2 trades),70.9% (2 trades),70.9% (2 trades),70.9% (2 trades),130.7% (2 trades),63.9% (1 trades),63.9% (1 trades),63.9% (1 trades),63.9% (1 trades),63.9% (1 trades),63.9% (1 trades),63.9% (1 trades),63.9% (1 trades),63.9% (1 trades),56.2% (1 trades),56.2% (1 trades),66.7% (1 trades),66.7% (1 trades),63.9% (1 trades),63.9% (1 trades),56.2% (1 trades),56.2% (1 trades),73.5% (2 trades),66.7% (1 trades),130.7% (2 trades),63.9% (1 trades),56.7% (2 trades),56.2% (1 trades),71.8% (2 trades),66.7% (1 trades),70.9% (2 trades),63.9% (1 trades),56.7% (2 trades),56.2% (1 trades),71.8% (2 trades),66.7% (1 trades),70.9% (2 trades),63.9% (1 trades),75.8% (3 trades),56.2% (1 trades),90.6% (3 trades),66.7% (1 trades),70.9% (2 trades),63.9% (1 trades),56.2% (1 trades),66.7% (1 trades),63.9% (1 trades)
